number,shape,spread,volumes
b,b,ch,2377
b,b,ch,2378
b,b,ch,2379
b,b,ch,2380
b,b,id,2400
b,b,id,2401
b,b,id,2402
d4,cr,id,2403
b,b,id,2404
b,b,id,2405
b,b,id,2406
b,b,id,2407
b,b,id,2408
b,b,id,2428
b,b,id,2429
b,b,id,2430
d3,cr,id,2431
b,b,id,2432
b,b,id,2433
b,b,id,2434
b,b,id,2435
b,b,id,2436
b,b,id,2450
b,b,id,2451
b,b,id,2452
d5,cr,id,2453
b,b,id,2454
b,b,id,2455
b,b,id,2456
b,b,id,2457
b,b,id,2458
b,b,id,2466
b,b,id,2467
b,b,id,2468
d2,cr,id,2469
b,b,id,2470
b,b,id,2471
b,b,id,2472
b,b,id,2473
b,b,id,2474
b,b,id,2488
b,b,id,2489
b,b,id,2490
d1,cr,id,2491
b,b,id,2492
b,b,id,2493
b,b,id,2494
b,b,id,2495
b,b,id,2496
b,b,id,2516
b,b,id,2517
b,b,id,2518
d4,ta,id,2519
b,b,id,2520
b,b,id,2521
b,b,id,2522
b,b,id,2523
b,b,id,2524
b,b,id,2532
b,b,id,2533
b,b,id,2534
d2,ta,id,2535
b,b,id,2536
b,b,id,2537
b,b,id,2538
b,b,id,2539
b,b,id,2540
b,b,id,2554
b,b,id,2555
b,b,id,2556
d5,ta,id,2557
b,b,id,2558
b,b,id,2559
b,b,id,2560
b,b,id,2561
b,b,id,2562
b,b,id,2576
b,b,id,2577
b,b,id,2578
d3,ta,id,2579
b,b,id,2580
b,b,id,2581
b,b,id,2582
b,b,id,2583
b,b,id,2584
b,b,id,2592
b,b,id,2593
b,b,id,2594
d1,ta,id,2595
b,b,id,2596
b,b,id,2597
b,b,id,2598
b,b,id,2599
b,b,id,2600
b,b,id,2620
b,b,id,2621
b,b,id,2622
d4,tp,id,2623
b,b,id,2624
b,b,id,2625
b,b,id,2626
b,b,id,2627
b,b,id,2628
b,b,id,2648
b,b,id,2649
b,b,id,2650
d1,tp,id,2651
b,b,id,2652
b,b,id,2653
b,b,id,2654
b,b,id,2655
b,b,id,2656
b,b,id,2664
b,b,id,2665
b,b,id,2666
d3,tp,id,2667
b,b,id,2668
b,b,id,2669
b,b,id,2670
b,b,id,2671
b,b,id,2672
b,b,id,2692
b,b,id,2693
b,b,id,2694
d2,tp,id,2695
b,b,id,2696
b,b,id,2697
b,b,id,2698
b,b,id,2699
b,b,id,2700
b,b,id,2714
b,b,id,2715
b,b,id,2716
d5,tp,id,2717
b,b,id,2718
b,b,id,2719
b,b,id,2720
b,b,id,2721
b,b,id,2722
b,b,ch,2742
b,b,ch,2743
b,b,ch,2744
d4,cr,ch,2745
b,b,ch,2746
b,b,ch,2747
b,b,ch,2748
b,b,ch,2749
b,b,ch,2750
b,b,ch,2770
b,b,ch,2771
b,b,ch,2772
d3,cr,ch,2773
b,b,ch,2774
b,b,ch,2775
b,b,ch,2776
b,b,ch,2777
b,b,ch,2778
b,b,ch,2792
b,b,ch,2793
b,b,ch,2794
d5,cr,ch,2795
b,b,ch,2796
b,b,ch,2797
b,b,ch,2798
b,b,ch,2799
b,b,ch,2800
b,b,ch,2808
b,b,ch,2809
b,b,ch,2810
d2,cr,ch,2811
b,b,ch,2812
b,b,ch,2813
b,b,ch,2814
b,b,ch,2815
b,b,ch,2816
b,b,ch,2830
b,b,ch,2831
b,b,ch,2832
d1,cr,ch,2833
b,b,ch,2834
b,b,ch,2835
b,b,ch,2836
b,b,ch,2837
b,b,ch,2838
b,b,ch,2858
b,b,ch,2859
b,b,ch,2860
d4,ta,ch,2861
b,b,ch,2862
b,b,ch,2863
b,b,ch,2864
b,b,ch,2865
b,b,ch,2866
b,b,ch,2874
b,b,ch,2875
b,b,ch,2876
d2,ta,ch,2877
b,b,ch,2878
b,b,ch,2879
b,b,ch,2880
b,b,ch,2881
b,b,ch,2882
b,b,ch,2896
b,b,ch,2897
b,b,ch,2898
d5,ta,ch,2899
b,b,ch,2900
b,b,ch,2901
b,b,ch,2902
b,b,ch,2903
b,b,ch,2904
b,b,ch,2918
b,b,ch,2919
b,b,ch,2920
d3,ta,ch,2921
b,b,ch,2922
b,b,ch,2923
b,b,ch,2924
b,b,ch,2925
b,b,ch,2926
b,b,ch,2934
b,b,ch,2935
b,b,ch,2936
d1,ta,ch,2937
b,b,ch,2938
b,b,ch,2939
b,b,ch,2940
b,b,ch,2941
b,b,ch,2942
b,b,ch,2962
b,b,ch,2963
b,b,ch,2964
d4,tp,ch,2965
b,b,ch,2966
b,b,ch,2967
b,b,ch,2968
b,b,ch,2969
b,b,ch,2970
b,b,ch,2990
b,b,ch,2991
b,b,ch,2992
d1,tp,ch,2993
b,b,ch,2994
b,b,ch,2995
b,b,ch,2996
b,b,ch,2997
b,b,ch,2998
b,b,ch,3006
b,b,ch,3007
b,b,ch,3008
d3,tp,ch,3009
b,b,ch,3010
b,b,ch,3011
b,b,ch,3012
b,b,ch,3013
b,b,ch,3014
b,b,ch,3034
b,b,ch,3035
b,b,ch,3036
d2,tp,ch,3037
b,b,ch,3038
b,b,ch,3039
b,b,ch,3040
b,b,ch,3041
b,b,ch,3042
b,b,ch,3056
b,b,ch,3057
b,b,ch,3058
d5,tp,ch,3059
b,b,ch,3060
b,b,ch,3061
b,b,ch,3062
b,b,ch,3063
b,b,ch,3064
b,b,id,3084
b,b,id,3085
b,b,id,3086
d4,cr,id,3087
b,b,id,3088
b,b,id,3089
b,b,id,3090
b,b,id,3091
b,b,id,3092
b,b,id,3112
b,b,id,3113
b,b,id,3114
d3,cr,id,3115
b,b,id,3116
b,b,id,3117
b,b,id,3118
b,b,id,3119
b,b,id,3120
b,b,id,3134
b,b,id,3135
b,b,id,3136
d5,cr,id,3137
b,b,id,3138
b,b,id,3139
b,b,id,3140
b,b,id,3141
b,b,id,3142
b,b,id,3150
b,b,id,3151
b,b,id,3152
d2,cr,id,3153
b,b,id,3154
b,b,id,3155
b,b,id,3156
b,b,id,3157
b,b,id,3158
b,b,id,3172
b,b,id,3173
b,b,id,3174
d1,cr,id,3175
b,b,id,3176
b,b,id,3177
b,b,id,3178
b,b,id,3179
b,b,id,3180
b,b,id,3200
b,b,id,3201
b,b,id,3202
d4,ta,id,3203
b,b,id,3204
b,b,id,3205
b,b,id,3206
b,b,id,3207
b,b,id,3208
b,b,id,3216
b,b,id,3217
b,b,id,3218
d2,ta,id,3219
b,b,id,3220
b,b,id,3221
b,b,id,3222
b,b,id,3223
b,b,id,3224
b,b,id,3238
b,b,id,3239
b,b,id,3240
d5,ta,id,3241
b,b,id,3242
b,b,id,3243
b,b,id,3244
b,b,id,3245
b,b,id,3246
b,b,id,3260
b,b,id,3261
b,b,id,3262
d3,ta,id,3263
b,b,id,3264
b,b,id,3265
b,b,id,3266
b,b,id,3267
b,b,id,3268
b,b,id,3276
b,b,id,3277
b,b,id,3278
d1,ta,id,3279
b,b,id,3280
b,b,id,3281
b,b,id,3282
b,b,id,3283
b,b,id,3284
b,b,id,3304
b,b,id,3305
b,b,id,3306
d4,tp,id,3307
b,b,id,3308
b,b,id,3309
b,b,id,3310
b,b,id,3311
b,b,id,3312
b,b,id,3332
b,b,id,3333
b,b,id,3334
d1,tp,id,3335
b,b,id,3336
b,b,id,3337
b,b,id,3338
b,b,id,3339
b,b,id,3340
b,b,id,3348
b,b,id,3349
b,b,id,3350
d3,tp,id,3351
b,b,id,3352
b,b,id,3353
b,b,id,3354
b,b,id,3355
b,b,id,3356
b,b,id,3376
b,b,id,3377
b,b,id,3378
d2,tp,id,3379
b,b,id,3380
b,b,id,3381
b,b,id,3382
b,b,id,3383
b,b,id,3384
b,b,id,3398
b,b,id,3399
b,b,id,3400
d5,tp,id,3401
b,b,id,3402
b,b,id,3403
b,b,id,3404
b,b,id,3405
b,b,id,3406
b,b,ch,3426
b,b,ch,3427
b,b,ch,3428
d4,cr,ch,3429
b,b,ch,3430
b,b,ch,3431
b,b,ch,3432
b,b,ch,3433
b,b,ch,3434
b,b,ch,3454
b,b,ch,3455
b,b,ch,3456
d3,cr,ch,3457
b,b,ch,3458
b,b,ch,3459
b,b,ch,3460
b,b,ch,3461
b,b,ch,3462
b,b,ch,3476
b,b,ch,3477
b,b,ch,3478
d5,cr,ch,3479
b,b,ch,3480
b,b,ch,3481
b,b,ch,3482
b,b,ch,3483
b,b,ch,3484
b,b,ch,3492
b,b,ch,3493
b,b,ch,3494
d2,cr,ch,3495
b,b,ch,3496
b,b,ch,3497
b,b,ch,3498
b,b,ch,3499
b,b,ch,3500
b,b,ch,3514
b,b,ch,3515
b,b,ch,3516
d1,cr,ch,3517
b,b,ch,3518
b,b,ch,3519
b,b,ch,3520
b,b,ch,3521
b,b,ch,3522
b,b,ch,3542
b,b,ch,3543
b,b,ch,3544
d4,ta,ch,3545
b,b,ch,3546
b,b,ch,3547
b,b,ch,3548
b,b,ch,3549
b,b,ch,3550
b,b,ch,3558
b,b,ch,3559
b,b,ch,3560
d2,ta,ch,3561
b,b,ch,3562
b,b,ch,3563
b,b,ch,3564
b,b,ch,3565
b,b,ch,3566
b,b,ch,3580
b,b,ch,3581
b,b,ch,3582
d5,ta,ch,3583
b,b,ch,3584
b,b,ch,3585
b,b,ch,3586
b,b,ch,3587
b,b,ch,3588
b,b,ch,3602
b,b,ch,3603
b,b,ch,3604
d3,ta,ch,3605
b,b,ch,3606
b,b,ch,3607
b,b,ch,3608
b,b,ch,3609
b,b,ch,3610
b,b,ch,3618
b,b,ch,3619
b,b,ch,3620
d1,ta,ch,3621
b,b,ch,3622
b,b,ch,3623
b,b,ch,3624
b,b,ch,3625
b,b,ch,3626
b,b,ch,3646
b,b,ch,3647
b,b,ch,3648
d4,tp,ch,3649
b,b,ch,3650
b,b,ch,3651
b,b,ch,3652
b,b,ch,3653
b,b,ch,3654
b,b,ch,3674
b,b,ch,3675
b,b,ch,3676
d1,tp,ch,3677
b,b,ch,3678
b,b,ch,3679
b,b,ch,3680
b,b,ch,3681
b,b,ch,3682
b,b,ch,3690
b,b,ch,3691
b,b,ch,3692
d3,tp,ch,3693
b,b,ch,3694
